ANNEE_CTR,CONTRAT_ANCIENNETE,FREQUENCE_PAIEMENT_COTISATION,GROUPE_KM,ZONE_RISQUE,AGE_ASSURE_PRINCIPAL,GENRE,DEUXIEME_CONDUCTEUR,ANCIENNETE_PERMIS,ANNEE_CONSTRUCTION,ENERGIE,EQUIPEMENT_SECURITE,VALEUR_DU_BIEN,NB,CHARGE,EXPO
2016,"(0,1]",MENSUEL,[40000;60000[,B,34,F,True,19,2009.0,DIESEL,VRAI,[15000;20000[,0,0.0,365.0
2019,"(2,5]",MENSUEL,[20000;40000[,C,44,M,True,60,2010.0,DIESEL,FAUX,[15000;20000[,0,0.0,150.9999999999999
2019,"(0,1]",ANNUEL,[0;20000[,B,34,M,True,14,2011.0,DIESEL,FAUX,[15000;20000[,0,0.0,139.92896174863392
2019,"(0,1]",TRIMESTRIEL,[20000;40000[,K,32,M,False,43,2015.0,DIESEL,FAUX,[25000;35000[,0,0.0,364.76502732240436
2017,"(1,2]",MENSUEL,[0;20000[,A,61,M,False,48,2017.0,ESSENCE,FAUX,[20000;25000[,0,0.0,365.0
2020,"(1,2]",MENSUEL,[0;20000[,D,41,F,True,36,2015.0,ESSENCE,FAUX,[10000;15000[,0,2193.03,365.0
2016,"(-1,0]",MENSUEL,[40000;60000[,B,35,M,False,17,2010.0,DIESEL,FAUX,[15000;20000[,0,0.0,65.99999999999993
2017,"(0,1]",ANNUEL,[20000;40000[,J,30,M,False,57,2017.0,ESSENCE,VRAI,[35000;99999[,0,0.0,365.0
2020,"(0,1]",MENSUEL,[0;20000[,C,25,F,True,14,2015.0,DIESEL,FAUX,[20000;25000[,0,0.0,365.0
2021,"(1,2]",MENSUEL,[0;20000[,B,59,Autre,False,59,2019.0,DIESEL,FAUX,[20000;25000[,0,0.0,303.99999999999994
2019,"(-1,0]",MENSUEL,[20000;40000[,B,40,M,False,45,2018.0,DIESEL,FAUX,[15000;20000[,1,4892.74,113.68852459016408
2021,"(2,5]",ANNUEL,[40000;60000[,B,46,Autre,False,58,2017.0,DIESEL,FAUX,[15000;20000[,0,0.0,303.99999999999994
2018,"(-1,0]",ANNUEL,[0;20000[,C,60,F,False,55,2017.0,DIESEL,VRAI,[35000;99999[,0,0.0,265.0
2017,"(0,1]",ANNUEL,[0;20000[,A,32,M,False,64,2017.0,ESSENCE,FAUX,[35000;99999[,0,0.0,365.0
2020,"(2,5]",ANNUEL,[20000;40000[,B,47,F,True,44,2018.0,ESSENCE,FAUX,[10000;15000[,0,0.0,365.0
2018,"(-1,0]",ANNUEL,[0;20000[,L,42,M,True,46,2014.0,ESSENCE,VRAI,[20000;25000[,0,0.0,115.99999999999993
2017,"(-1,0]",ANNUEL,[40000;60000[,B,34,M,False,17,2014.0,DIESEL,VRAI,[25000;35000[,0,0.0,115.00000000000003
2017,"(1,2]",ANNUEL,[0;20000[,A,61,F,False,40,2017.0,ESSENCE,FAUX,[10000;15000[,0,0.0,10.0
2018,"(0,1]",ANNUEL,[0;20000[,A,62,M,False,60,2013.0,ESSENCE,FAUX,[0;10000[,0,0.0,365.0
2016,"(0,1]",TRIMESTRIEL,[20000;40000[,A,20,Autre,False,8,2011.0,ESSENCE,VRAI,[10000;15000[,0,1088.77,132.6366120218581
2021,"(2,5]",TRIMESTRIEL,[40000;60000[,A,79,F,False,36,2017.0,ESSENCE,FAUX,[0;10000[,0,0.0,303.99999999999994
2018,"(1,2]",MENSUEL,[20000;40000[,C,20,M,False,11,2014.0,ESSENCE,FAUX,[25000;35000[,1,166.73,365.0
2018,"(2,5]",ANNUEL,[0;20000[,A,70,M,True,68,2010.0,DIESEL,VRAI,[20000;25000[,0,0.0,8.000000000000007
2021,"(2,5]",ANNUEL,[20000;40000[,A,27,F,False,11,2015.0,DIESEL,FAUX,[20000;25000[,0,0.0,273.0
2021,"(2,5]",MENSUEL,[0;20000[,A,63,F,False,51,2015.0,ESSENCE,FAUX,[0;10000[,0,0.0,239.99999999999983
2017,"(0,1]",MENSUEL,[0;20000[,A,68,F,False,42,2011.0,ESSENCE,VRAI,[10000;15000[,0,0.0,365.0
2021,"(1,2]",TRIMESTRIEL,[20000;40000[,B,35,F,False,23,2019.0,ESSENCE,FAUX,[15000;20000[,0,0.0,203.99999999999997
2019,"(0,1]",MENSUEL,[0;20000[,E,52,M,True,37,2017.0,DIESEL,FAUX,[10000;15000[,0,0.0,364.497267759563
2017,"(0,1]",MENSUEL,[20000;40000[,A,38,F,False,54,2014.0,ESSENCE,VRAI,[10000;15000[,0,0.0,365.0
2018,"(2,5]",MENSUEL,[40000;60000[,A,39,M,False,70,2014.0,DIESEL,FAUX,[10000;15000[,0,0.0,365.0
2016,"(0,1]",MENSUEL,[0;20000[,A,59,F,False,50,2010.0,DIESEL,VRAI,[25000;35000[,0,0.0,365.0
2016,"(-1,0]",ANNUEL,[20000;40000[,A,25,M,False,16,2011.0,DIESEL,FAUX,[20000;25000[,0,0.0,299.00000000000006
2019,"(2,5]",TRIMESTRIEL,[0;20000[,A,35,F,True,41,2017.0,ESSENCE,FAUX,[10000;15000[,0,0.0,145.00000000000009
2021,"(1,2]",ANNUEL,[0;20000[,C,59,F,False,32,2019.0,ESSENCE,FAUX,[15000;20000[,0,1496.2,292.9999999999999
2020,"(0,1]",ANNUEL,[0;20000[,B,69,M,False,31,2015.0,DIESEL,VRAI,[20000;25000[,0,0.0,365.0
2019,"(0,1]",MENSUEL,[20000;40000[,B,20,F,True,11,2012.0,DIESEL,FAUX,[20000;25000[,0,0.0,199.00000000000009
2020,"(1,2]",MENSUEL,[20000;40000[,C,38,F,False,14,2017.0,ESSENCE,VRAI,[20000;25000[,0,0.0,230.36885245901658
2020,"(-1,0]",ANNUEL,[20000;40000[,B,57,M,False,67,2016.0,DIESEL,FAUX,[25000;35000[,0,0.0,166.99999999999983
2019,"(1,2]",MENSUEL,[0;20000[,A,44,F,False,23,2019.0,DIESEL,VRAI,[15000;20000[,0,850.72,365.0
2018,"(0,1]",MENSUEL,[0;20000[,C,43,F,False,20,2018.0,ESSENCE,FAUX,[20000;25000[,0,0.0,365.0
2016,"(0,1]",ANNUEL,[20000;40000[,A,31,F,False,29,2014.0,DIESEL,VRAI,[20000;25000[,0,0.0,365.0
2016,"(-1,0]",TRIMESTRIEL,[0;20000[,A,32,M,False,13,2014.0,ESSENCE,FAUX,[20000;25000[,0,0.0,214.00000000000009
2016,"(-1,0]",ANNUEL,[20000;40000[,C,60,M,True,38,2014.0,DIESEL,VRAI,[25000;35000[,0,0.0,120.99999999999983
2016,"(0,1]",ANNUEL,[0;20000[,A,32,M,False,18,2014.0,ESSENCE,FAUX,[10000;15000[,0,0.0,50.86065573770493
2017,"(0,1]",MENSUEL,[20000;40000[,B,26,M,False,6,2013.0,DIESEL,VRAI,[15000;20000[,1,4859.58,365.0
2018,"(0,1]",ANNUEL,[0;20000[,C,45,M,False,46,2014.0,DIESEL,FAUX,[35000;99999[,0,0.0,365.0
2017,"(0,1]",TRIMESTRIEL,[0;20000[,C,59,M,False,22,2016.0,ESSENCE,FAUX,[20000;25000[,0,0.0,365.0
2019,"(0,1]",ANNUEL,[20000;40000[,H,33,M,False,15,2018.0,ESSENCE,VRAI,[35000;99999[,0,0.0,364.4234972677595
2021,"(2,5]",ANNUEL,[20000;40000[,D,46,F,False,33,2017.0,ESSENCE,FAUX,[15000;20000[,0,0.0,269.0
2017,"(0,1]",MENSUEL,[0;20000[,A,21,F,True,8,2015.0,ESSENCE,FAUX,[10000;15000[,0,0.0,365.0
2018,"(-1,0]",ANNUEL,[20000;40000[,C,20,F,False,9,2013.0,DIESEL,VRAI,[25000;35000[,0,0.0,203.00000000000006
2018,"(-1,0]",MENSUEL,[20000;40000[,K,22,M,True,11,2017.0,DIESEL,VRAI,[15000;20000[,0,0.0,61.99999999999995
2018,"(-1,0]",MENSUEL,[20000;40000[,C,37,M,True,57,2017.0,DIESEL,VRAI,[20000;25000[,0,0.0,188.00000000000003
2019,"(-1,0]",MENSUEL,[20000;40000[,B,35,M,True,18,2019.0,ESSENCE,FAUX,[15000;20000[,0,0.0,36.898907103824996
2016,"(0,1]",ANNUEL,[0;20000[,F,37,M,True,30,2017.0,DIESEL,VRAI,[15000;20000[,0,0.0,365.0
2017,"(-1,0]",TRIMESTRIEL,[0;20000[,A,50,F,True,59,2010.0,DIESEL,FAUX,[15000;20000[,0,0.0,299.00000000000006
2017,"(0,1]",ANNUEL,[20000;40000[,C,39,Autre,False,22,2021,DIESEL,VRAI,Inconnu,0,0.0,365.0
2021,"(1,2]",MENSUEL,[20000;40000[,D,35,M,True,46,2020.0,DIESEL,FAUX,[25000;35000[,0,0.0,303.99999999999994
2020,"(-1,0]",MENSUEL,[20000;40000[,E,38,M,False,39,2014.0,ESSENCE,FAUX,[20000;25000[,0,0.0,364.83606557377067
2019,"(0,1]",TRIMESTRIEL,[0;20000[,C,52,M,False,58,2013.0,ESSENCE,FAUX,[35000;99999[,0,0.0,364.85519125683055
2018,"(0,1]",MENSUEL,[20000;40000[,C,48,M,False,34,2011.0,DIESEL,FAUX,[25000;35000[,0,0.0,3.999999999999985
2021,"(1,2]",TRIMESTRIEL,[20000;40000[,C,45,F,False,51,2018.0,DIESEL,FAUX,[25000;35000[,0,0.0,303.00000000000006
2018,"(0,1]",MENSUEL,[20000;40000[,A,38,M,False,16,2017.0,DIESEL,FAUX,[25000;35000[,0,0.0,365.0
2020,"(2,5]",ANNUEL,[0;20000[,J,60,M,False,65,2008.0,ESSENCE,VRAI,[35000;99999[,0,0.0,365.0
2018,"(2,5]",ANNUEL,[0;20000[,A,86,M,False,60,2008.0,DIESEL,VRAI,[15000;20000[,0,0.0,84.00000000000006
2020,"(0,1]",ANNUEL,[0;20000[,C,55,Autre,False,61,2018.0,ESSENCE,FAUX,[10000;15000[,0,0.0,365.0
2016,"(0,1]",ANNUEL,[20000;40000[,A,34,Autre,False,15,2014.0,DIESEL,FAUX,[20000;25000[,0,1176.96,365.0
2018,"(-1,0]",MENSUEL,[0;20000[,B,49,M,False,66,2017.0,ESSENCE,VRAI,[20000;25000[,0,0.0,311.0
2016,"(-1,0]",ANNUEL,[0;20000[,C,61,F,False,62,2020.0,ESSENCE,FAUX,[0;10000[,0,0.0,276.99999999999994
2017,"(1,2]",ANNUEL,[0;20000[,A,55,M,False,47,2015.0,DIESEL,FAUX,[10000;15000[,0,0.0,365.0
2020,"(0,1]",MENSUEL,[20000;40000[,B,50,M,False,30,2015.0,DIESEL,FAUX,[15000;20000[,0,0.0,365.0
2021,"(1,2]",ANNUEL,[20000;40000[,E,32,M,True,18,2020.0,DIESEL,FAUX,[15000;20000[,0,0.0,303.99999999999994
2018,"(2,5]",ANNUEL,[0;20000[,A,40,M,False,21,2014.0,DIESEL,VRAI,[35000;99999[,1,2160.98,365.0
2017,"(1,2]",TRIMESTRIEL,[0;20000[,A,46,F,False,17,2007.0,DIESEL,VRAI,[20000;25000[,0,0.0,365.0
2018,"(-1,0]",ANNUEL,[20000;40000[,B,40,M,False,58,2017.0,ESSENCE,FAUX,[20000;25000[,0,0.0,116.99999999999984
2020,"(2,5]",ANNUEL,[0;20000[,A,36,M,False,47,2017.0,ESSENCE,FAUX,[35000;99999[,0,0.0,307.1584699453553
2019,"(1,2]",TRIMESTRIEL,[0;20000[,C,49,M,False,42,2017.0,DIESEL,VRAI,[20000;25000[,0,927.06,364.1885245901638
2016,"(0,1]",ANNUEL,[20000;40000[,X,30,F,False,14,2013.0,DIESEL,VRAI,[15000;20000[,0,0.0,365.0
2018,"(1,2]",TRIMESTRIEL,[0;20000[,C,33,Autre,False,13,2015.0,DIESEL,VRAI,[35000;99999[,0,0.0,365.0
2018,"(2,5]",MENSUEL,[0;20000[,H,50,M,False,29,2012.0,ESSENCE,FAUX,[0;10000[,2,4632.33,141.0000000000001
2020,"(2,5]",MENSUEL,[20000;40000[,B,32,M,False,15,2012.0,DIESEL,FAUX,[25000;35000[,0,0.0,210.4234972677595
2018,"(-1,0]",MENSUEL,[0;20000[,C,60,M,True,66,2014.0,DIESEL,FAUX,[25000;35000[,0,0.0,244.00000000000017
2021,"(0,1]",MENSUEL,[20000;40000[,C,35,F,False,11,2015.0,ESSENCE,FAUX,[20000;25000[,0,1312.82,238.99999999999991
2016,"(-1,0]",MENSUEL,[20000;40000[,A,33,F,False,20,2014.0,DIESEL,FAUX,[20000;25000[,1,1603.99,238.99999999999991
2019,"(-1,0]",ANNUEL,[0;20000[,B,70,F,False,50,2018.0,ESSENCE,FAUX,[15000;20000[,1,1653.21,329.41256830601094
2017,"(1,2]",MENSUEL,[0;20000[,C,60,M,True,67,2011.0,ESSENCE,VRAI,[20000;25000[,0,0.0,365.0
2016,"(0,1]",ANNUEL,[20000;40000[,A,52,M,False,39,2010.0,DIESEL,VRAI,[35000;99999[,0,0.0,365.0
2021,"(0,1]",MENSUEL,[20000;40000[,D,35,M,True,61,2019.0,ESSENCE,FAUX,[20000;25000[,0,0.0,303.99999999999994
2021,"(2,5]",MENSUEL,[20000;40000[,G,42,F,False,56,2009.0,ESSENCE,FAUX,[10000;15000[,0,0.0,303.00000000000006
2021,"(2,5]",MENSUEL,[0;20000[,J,50,F,True,45,2017.0,ESSENCE,FAUX,[15000;20000[,0,0.0,150.0
2016,"(0,1]",TRIMESTRIEL,[20000;40000[,A,39,F,False,35,2012.0,DIESEL,FAUX,[15000;20000[,0,0.0,365.0
2017,"(0,1]",MENSUEL,[20000;40000[,C,53,M,False,44,2017.0,DIESEL,FAUX,[20000;25000[,0,0.0,365.0
2019,"(-1,0]",ANNUEL,[20000;40000[,B,40,M,False,63,2018.0,ESSENCE,FAUX,[15000;20000[,0,0.0,262.28142076502746
2017,"(1,2]",MENSUEL,[0;20000[,A,39,F,False,34,2008.0,ESSENCE,FAUX,[10000;15000[,0,0.0,365.0
2020,"(0,1]",ANNUEL,[0;20000[,C,54,F,False,36,2018.0,DIESEL,FAUX,[20000;25000[,0,0.0,365.0
2016,"(0,1]",ANNUEL,[0;20000[,A,60,Autre,False,45,2015.0,DIESEL,FAUX,[10000;15000[,0,2917.45,365.0
2018,"(0,1]",MENSUEL,[0;20000[,C,57,M,True,30,2016.0,ESSENCE,FAUX,[10000;15000[,0,0.0,365.0
2018,"(-1,0]",MENSUEL,[20000;40000[,C,40,M,False,16,2018.0,DIESEL,VRAI,[20000;25000[,0,2525.42,15.0
2017,"(-1,0]",ANNUEL,[0;20000[,C,62,F,False,39,2018.0,ESSENCE,FAUX,[20000;25000[,0,0.0,212.99999999999986
2021,"(-1,0]",ANNUEL,[0;20000[,L,36,F,False,62,2017.0,ESSENCE,VRAI,[10000;15000[,0,0.0,157.00000000000006
2019,"(-1,0]",MENSUEL,[0;20000[,C,44,Autre,True,24,2017.0,DIESEL,FAUX,[20000;25000[,0,0.0,89.75409836065563
2020,"(1,2]",MENSUEL,[20000;40000[,D,43,M,False,61,2020.0,ESSENCE,FAUX,[10000;15000[,0,1854.2,365.0
2016,"(-1,0]",ANNUEL,[0;20000[,B,55,F,False,60,2017.0,DIESEL,VRAI,[15000;20000[,0,0.0,46.99999999999992
2017,"(-1,0]",TRIMESTRIEL,[0;20000[,C,63,M,False,28,2017.0,ESSENCE,FAUX,[10000;15000[,0,0.0,95.0000000000001
2017,"(-1,0]",MENSUEL,[0;20000[,A,46,F,True,66,2016.0,DIESEL,VRAI,[15000;20000[,0,0.0,311.0
2021,"(1,2]",MENSUEL,[20000;40000[,D,43,M,True,69,2020.0,ESSENCE,FAUX,[25000;35000[,0,0.0,303.99999999999994
2018,"(-1,0]",MENSUEL,[20000;40000[,E,69,F,False,64,2017.0,ESSENCE,FAUX,[15000;20000[,1,3537.32,172.00000000000009
2017,"(-1,0]",TRIMESTRIEL,[0;20000[,B,69,M,False,52,2014.0,DIESEL,FAUX,[35000;99999[,0,0.0,273.0
2020,"(1,2]",MENSUEL,[20000;40000[,C,39,F,True,59,2018.0,DIESEL,FAUX,[20000;25000[,0,0.0,157.56830601092886
2021,"(2,5]",MENSUEL,[0;20000[,B,30,F,False,10,2016.0,ESSENCE,FAUX,[10000;15000[,0,0.0,187.0000000000001
2020,"(1,2]",ANNUEL,[0;20000[,C,93,M,False,59,2017.0,ESSENCE,FAUX,[25000;35000[,0,2061.03,365.0
2019,"(2,5]",ANNUEL,[40000;60000[,B,37,M,False,61,2013.0,ESSENCE,FAUX,[20000;25000[,0,0.0,365.0
2021,"(1,2]",MENSUEL,[20000;40000[,C,34,F,False,54,2013.0,DIESEL,VRAI,[15000;20000[,0,0.0,303.99999999999994
2018,"(0,1]",ANNUEL,[0;20000[,B,63,M,False,70,2016.0,ESSENCE,FAUX,[10000;15000[,0,0.0,365.0
2019,"(0,1]",ANNUEL,[20000;40000[,B,27,F,True,19,2013.0,ESSENCE,FAUX,[20000;25000[,0,0.0,364.6174863387977
2018,"(0,1]",ANNUEL,[20000;40000[,B,44,F,False,59,2016.0,DIESEL,VRAI,[25000;35000[,0,0.0,365.0
2016,"(0,1]",ANNUEL,[0;20000[,A,35,M,False,41,2009.0,ESSENCE,VRAI,[10000;15000[,0,0.0,365.0
2021,"(0,1]",MENSUEL,[0;20000[,C,66,F,True,59,2019.0,ESSENCE,FAUX,[10000;15000[,0,0.0,303.99999999999994
2018,"(0,1]",MENSUEL,[40000;60000[,A,25,M,False,7,2016.0,DIESEL,VRAI,[25000;35000[,0,0.0,92.99999999999993
2019,"(1,2]",MENSUEL,[20000;40000[,C,42,M,True,29,2016.0,DIESEL,FAUX,[35000;99999[,1,1531.35,82.99180327868844
